prompt_id,budget_seconds,scheduler_run,scheduler_model,scheduler_config,scheduler_latency,scheduler_quality,best_fixed_preset,best_fixed_run,best_fixed_latency,best_fixed_quality,quality_gain,fixed_preset_status
static_landscape,40.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,ltx_fast_384x640_33f_20s,1.727198,0.5664,fixed_ltx_preview,ltx_static_landscape_ltx_fast_384x640_49f_20s,2.378240,0.5155,0.0509,"fixed_ltx_preview: fits (2.38s, q=0.5155); fixed_ltx_quality: fits (9.03s, q=0.5012); fixed_cogvideox_preview: fits (15.85s, q=0.4710); fixed_cogvideox_quality: over budget (99.67s)"
static_landscape,70.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,ltx_fast_384x640_33f_20s,1.727198,0.5664,fixed_ltx_preview,ltx_static_landscape_ltx_fast_384x640_49f_20s,2.378240,0.5155,0.0509,"fixed_ltx_preview: fits (2.38s, q=0.5155); fixed_ltx_quality: fits (9.03s, q=0.5012); fixed_cogvideox_preview: fits (15.85s, q=0.4710); fixed_cogvideox_quality: over budget (99.67s)"
static_landscape,100.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,ltx_fast_384x640_33f_20s,1.727198,0.5664,fixed_ltx_preview,ltx_static_landscape_ltx_fast_384x640_49f_20s,2.378240,0.5155,0.0509,"fixed_ltx_preview: fits (2.38s, q=0.5155); fixed_ltx_quality: fits (9.03s, q=0.5012); fixed_cogvideox_preview: fits (15.85s, q=0.4710); fixed_cogvideox_quality: fits (99.67s, q=0.4826)"
walking_person,1.0,ltx_walking_person_ltx_fast_384x640_17f_20s,ltx,ltx_fast_384x640_17f_20s,0.970257,0.7320,,,,,,fixed_ltx_preview: over budget (2.40s); fixed_ltx_quality: over budget (9.13s); fixed_cogvideox_preview: over budget (15.75s); fixed_cogvideox_quality: over budget (100.16s)
walking_person,2.0,ltx_walking_person_ltx_fast_384x640_49f_15s,ltx,ltx_fast_384x640_49f_15s,1.893095,0.8027,,,,,,fixed_ltx_preview: over budget (2.40s); fixed_ltx_quality: over budget (9.13s); fixed_cogvideox_preview: over budget (15.75s); fixed_cogvideox_quality: over budget (100.16s)
walking_person,5.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,ltx_fast_512x704_49f_20s,3.742048,0.8515,fixed_ltx_preview,ltx_walking_person_ltx_fast_384x640_49f_20s,2.399913,0.7340,0.1175,"fixed_ltx_preview: fits (2.40s, q=0.7340); fixed_ltx_quality: over budget (9.13s); fixed_cogvideox_preview: over budget (15.75s); fixed_cogvideox_quality: over budget (100.16s)"
walking_person,10.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,ltx_fast_512x704_49f_20s,3.742048,0.8515,fixed_ltx_quality,ltx_walking_person_ltx_quality_512x704_81f_30s,9.130898,0.7906,0.0609,"fixed_ltx_preview: fits (2.40s, q=0.7340); fixed_ltx_quality: fits (9.13s, q=0.7906); fixed_cogvideox_preview: over budget (15.75s); fixed_cogvideox_quality: over budget (100.16s)"
walking_person,20.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,ltx_fast_512x704_49f_20s,3.742048,0.8515,fixed_ltx_quality,ltx_walking_person_ltx_quality_512x704_81f_30s,9.130898,0.7906,0.0609,"fixed_ltx_preview: fits (2.40s, q=0.7340); fixed_ltx_quality: fits (9.13s, q=0.7906); fixed_cogvideox_preview: fits (15.75s, q=0.6089); fixed_cogvideox_quality: over budget (100.16s)"
walking_person,40.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,ltx_fast_512x704_49f_20s,3.742048,0.8515,fixed_ltx_quality,ltx_walking_person_ltx_quality_512x704_81f_30s,9.130898,0.7906,0.0609,"fixed_ltx_preview: fits (2.40s, q=0.7340); fixed_ltx_quality: fits (9.13s, q=0.7906); fixed_cogvideox_preview: fits (15.75s, q=0.6089); fixed_cogvideox_quality: over budget (100.16s)"
walking_person,70.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,ltx_fast_512x704_49f_20s,3.742048,0.8515,fixed_ltx_quality,ltx_walking_person_ltx_quality_512x704_81f_30s,9.130898,0.7906,0.0609,"fixed_ltx_preview: fits (2.40s, q=0.7340); fixed_ltx_quality: fits (9.13s, q=0.7906); fixed_cogvideox_preview: fits (15.75s, q=0.6089); fixed_cogvideox_quality: over budget (100.16s)"
walking_person,100.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,ltx_fast_512x704_49f_20s,3.742048,0.8515,fixed_ltx_quality,ltx_walking_person_ltx_quality_512x704_81f_30s,9.130898,0.7906,0.0609,"fixed_ltx_preview: fits (2.40s, q=0.7340); fixed_ltx_quality: fits (9.13s, q=0.7906); fixed_cogvideox_preview: fits (15.75s, q=0.6089); fixed_cogvideox_quality: over budget (100.16s)"
